################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         3         52   0.0000000000000000E+00   4.7871830414905770E-03   4.3679937959096459E-04   7.6930059984854887E-04
         3         53   0.0000000000000000E+00   2.7717003731169091E-02   1.3984487818333592E-03   1.8689348867197994E-03
         3         54   0.0000000000000000E+00   3.8713090276647842E-02   5.0921487819761170E-03   5.7323850009356990E-03
         3         55   0.0000000000000000E+00   5.3217341266035910E-02   5.3188369829662374E-03   6.0375778829502031E-03
         3         56   0.0000000000000000E+00   4.3249346576222161E-02   4.7836336050652338E-03   6.5276752372802008E-03
         3         57   0.0000000000000000E+00   7.1369375298262084E-03   5.2705666061188510E-04   7.7508311450762569E-04
         3         58   0.0000000000000000E+00   9.2388487700062298E-03   9.5245020660115901E-04   1.2292927578423747E-03
         3         59   0.0000000000000000E+00   8.6061710662447399E-03   8.8437521496802631E-04   1.2440683913262445E-03
         3         60   0.0000000000000000E+00   1.8772081983140291E-02   1.0294024184896869E-03   1.4667150284622989E-03
         3         61   0.0000000000000000E+00   1.5135534457707522E-02   1.7799430660490096E-03   2.1391281100928568E-03
         3         62   0.0000000000000000E+00   2.5730517063382845E-02   2.7597606451675184E-03   3.3764049551593700E-03
         3         63   0.0000000000000000E+00   2.3851411709667550E-02   2.4148263243632807E-03   3.2426801350853296E-03
         3         64   0.0000000000000000E+00   1.6504331880656326E-02   1.4204438585765171E-03   1.7395768925039009E-03
